coder,post_number,user,topic,raw,pers_exp,emot_exp,pol_opin,breadth,valence,contr,created_at,reply_to_post_number,reply_chain,key,value,key...7,value...8,key...9,value...10
,167,Sammy,Welche Meinung haben Sie zum 9-Punkte-Plan? (190),"Hallo holzwurmpaul! Bei Herrn Klöppel merkt man sofort die politische Einstellung! Er hat aber auch etwas sympathisches obwohl er bei manchen Berichten zu einer dramatisch langgezogenen Story neigt!Von der gestrigen ""Augsburger Puppenkiste"", habe ich heute auch schon einiges bei FB gelesen. Interessant fand ich bei einigen Kommentaren, das viele Zuschauer der Sendung, die sich vorher sicher waren, eine der beiden Parteien zu wählen nun umgeschwenkt sind in eine ganz andere Richtung! Doch ich befürchte trotzdem, Merkel wird wieder gewählt!",,,,,,,2017-09-04T15:15:32Z,156,"Die genannten Maßnahmen sind überfällig. >>> Hallo holzwurmpaul! Da gebe ich Ihnen vollkommen recht, mit Ihrer Aussage, das die in Berlin alle unfähig sind! Bald sind Wahlen.....natürlich werden da große Versprechen gemacht, die nach der Wahl nicht eingehalten werden! Wie nennt man das noch so schön: Nepper, Schlepper , Bauernfänger. Bislang hat es funktioniert. Ich habe Merkel noch nie meine Stimme gegeben und sie wird sie auch niemals erhalten. >>> Der 9. Punkte Plan hört sich geschrieben schon mal gut an. Nur will Merkel diesen tatsächlich realisiere?! Daran möchte ich zweifeln. Selbst wenn man diese Frau bei Debatten beobachtet, sie kann sich ja toll überall heraus reden und meint alles wird gut! Für wen? Nicht für das Volk. In ihren Augen hingegen sind Zweifel und Unsicherheit über ihre eigenen Worte zu sehen! Gegen wie viele Gesetze hat diese Frau schon verstoßen?! Für mich ist diese Person, die ehemals zu Zeiten der DDR bei der Stasi war nicht glaubwürdig und für das ""DEUTSCHE VOLK"" untragbar. Doch ich fürchte, sie wird weiterhin Kanzlerin bleiben! Dafür gibt es so, wie Medien berichten leider noch immer genug Menschen, die ihr vertrauen. Wenn ich hundertmal betrogen werde, vertraue ich nicht mehr. >>> Sag mal, ist Dir eigentlich klar, welche Behauptungen Du da frisch und frei in die Welt setzt und gegen welche Gesetze DU damit verstoßen hast? >>> Hallo brunolina, gegen was für Gesetze verstößt Sammy Erkläre das mal !! Und welche Behauptungen gefallen dir nicht?? >>> Hallo brunolina! Definiere bitte klar und deutlich, gegen welche Gesetze ich verstoßen haben soll mit meinen Aussagen!!! Frisch und frei in die Welt gesetzt??? Im Moment herrscht noch freie Meinungsäußerung in Deutschland! Ich bin gerne bereit mir DEINE Meinung anzuhören ohne DICH oder irgend jemanden anzugreifen und schon gar nicht mit einem unvollständigem Satz, der keine klare Aussage hat! Was ich geschrieben habe ist eine belegte Tatsache, die sich überall nachlesen lässt. Merkel hat nun mal in mehreren Fällen gegen das Grundgesetz verstoßen! Sollte ich das geheim halten, wo das bereits bekannt ist! >>> Hallo Sammy, Meinungsfreiheit ist nicht gleichbedeutend mit dem verbreiten von Unwahrheiten. Ich kann bei Deiner Wortwahl nicht erkennen, dass Du bereit wärst, Angriffe gegen andere - zu denen Frau Merkel doch wohl auch gehört – zu unterlassen. Meine Aussage war absolut klar. Sie ärgert Dich. Das kann ich nicht ändern. Teile Deiner Worte zitiere ich – den Rest erspare ich uns, ist ja durchaus nachlesbar: _„In ihren Augen hingegen sind Zweifel und Unsicherheit über ihre eigenen Worte zu sehen!“_ _Gegen wie viele Gesetze hat diese Frau schon verstoßen?!_ _Für mich ist diese Person, die ehemals zu Zeiten der DDR bei der Stasi war nicht glaubwürdig und für das “DEUTSCHE VOLK” untragbar.“_ >>> Hallo brunolina! Also als erstes hast Du mir leider noch immer nicht mitgeteilt, gegen welche Gesetze ich verstoßen habe! Gut interessiert mich nun auch nicht mehr wirklich. Mich auch noch der Lüge bezichtigen finde ich dreist! Es gibt für mich keinen Grund zu lügen. Ist absolut nicht meine Art! Meine persönliche Meinung werde ich auch weiterhin sagen, ob Dir das passt oder nicht! Wir kennen uns sicherlich nicht persönlich, so das Du ein solches Urteil über mich fällen kannst! Meine Bitte an Dich, ignoriere mich und meine Kommentare, so wie ich das ab sofort bei Dir auch tun werde. Damit ist das Thema für mich beendet!!! >>> Hallo Sammy, das war bestimmt der Honecker der nochmal was sagen wollte bevor er jetzt gänzlich mit seiner Frau in der Hölle verschwand wo er dem Teufel den Ofen befeuern kann. Das sind halt Merkel Liebhaber ;-)) Und wenn es an die Front geht haben die ihre Buxe voll. >>> Hallo Holzwurmpaul! Das könnte gut möglich sein! Weißt Du, ich finde es schon immer schrecklich, wie diese Leute Personen mit anderer Meinung auf Facebook angreifen!. Wird dann nachgefragt, warum sie so reagieren, haben sie keine Argumente mehr, artikulieren in asozialer, oder klinken sich ganz aus. Mit einer vernünftigen Antwort kann bei diesen Personen nicht gerechnet werden. Ich selbst kommentiere aus genau diesem Grund sehr wenig in sozialen Netzwerken. Hier allerdings hatte ich nicht mit solchen Leuten gerechnet! Wenn jemand Merkel weiter wählen will, so habe ich kein Problem damit. Ich muss es deswegen nicht tun!!! >>> Hallo Sammy ich habe auch noch nie verstehen können,das so viele ihren Müll in solchen Netzwerken auskippen wollen. Auf der einen Seite,wollen sie keine Kameras und auf der gleichen Seite stehen die Leut die all ihren Müll Freiwillig kund tun. Wo ist hier die sogenannte Privats fähre?? Also ich freue mich schon auf heut abend wo die Augsburger Puppenkiste wieder da ist nach vier Jahren. Wo jeder vorher seine Fragen wieder abgeben muss oder soll um bei der Runde wieder die Zuschauer zu veräppeln. Allein schon der Klöppel der sich am liebsten der Merkel auf den Schoss setzen würde Grrrr Grrr Blitz und Donner !!",,,,,,
,56,Sudiko,Welche Meinung haben Sie zum 9-Punkte-Plan? (190),"Also ich finde auch das die Bundeswehr im Inneren gegen das Gesetz verstoßen würde - das die Polizei eine bessere Ausrüstung benötigt ist auf alle Fälle klar! - die die unser Asylrecht missbrauchen, sollten sofort abgeschoben werden, damit andere die es benötigen, eher geholfen wird",,,,,,,2017-08-31T09:49:24Z,NULL,,,,,,,
,137,RReacher,Welche Meinung haben Sie zum 9-Punkte-Plan? (190),Wie gesagt sollte auch geändert werden. Oder sollen die Soldaten in Notsituationen einfach zugucken und nichts machen dürfen??,,,,,,,2017-09-02T16:24:12Z,2,Bundeswehr im Inneren? Hier verstösst sie gegen das Grundgesetz.,,,,,,
,107,Enrica,Welche Meinung haben Sie zum 9-Punkte-Plan? (190),"Punkt 4 (Bundeswehr) und Punkt 9 (Mehr Abschiebungen) halte ich für übertrieben. Die Forschungsvorhaben sollten nicht nur ""**islamistischen** Terror"" umfassen. Die Unterbindung des Online-Waffenhandels halte ich für sinnvoll.",,,,,,,2017-09-01T13:35:13Z,NULL,,,,,,,
,19,Maksimo,Welche Meinung haben Sie zum 9-Punkte-Plan? (190),Ich stimme dem 9 Punkteplan zu in allen Bereichen. Ich sage aber auch warum nicht stop mit den Asylaufnahmen.Wir sind kein Einwanderungsland. Warum nicht Schluss mit den aufnahmen. Das spart viel Kosten und Ärger.,,,,,,,2017-08-29T20:20:57Z,NULL,,,,,,,
,9,colbert,Welche Punkte würden Sie ergänzen? (55),"Nicht immer nur reden und diskutieren, sondern einfach machen, umsetzen und ausprobieren, ggf. nachbessern. Es dauert einfach immer viel zu lange bzw. müssen leider Gottes immer erst ganz viele schlimme Dinge geschehen, bevor die Behörden mal entsprechende Gesetze oder Vorschriften auf den Weg bringen.",,,,,,,2017-08-30T13:28:06Z,NULL,,,,,,,
,35,anonym15,Wie bewerten Sie den 9-Punkte-Plan insgesamt? (77),"Dem kann ich nur zustimmen, zu den Schwierigkeiten der finanziellen Mittel und der schnellen reibungslosen Zusammenarbeit zwischen den Staaten sehe ich noch das Problem, dass es keine zeitlichen Vorgaben für die Durchführung des Planes gibt.",,,,,,,2017-09-01T14:25:02Z,34,"Ich denke der Plan hat ganz gute Ansätze um innerhalb Europas die Terrorbekämpfung zu verbesser, aber er ist noch sehr unkonkret und es bleibt abzuwarten, inwieweit und wie konsequent die Ansätze wirklich ausgeführt werden. Ich denke, es könnte einige Probleme bei der tatsächlichen Umsetzung geben. Ich fürchte es werden zuwenig finanzielle Mittel für eine optimale Umsetzung zur Verfügung gestellt werden und ich bfürchte, dass auch die Zusammenarbeit der verschiedenen Länder und Staaten schwierig wird, weil es bestimmt irgendwelche Interessenskonflikte zwischen den beteiligten Regierungen und auch Widerstände von verschiedenen Interessengruppen innerhalb der Bevölkerungen geben wird.",,,,,,
,73,Sammy,Welche Meinung haben Sie zum 9-Punkte-Plan? (190),"Der 9. Punkte Plan hört sich geschrieben schon mal gut an. Nur will Merkel diesen tatsächlich realisiere?! Daran möchte ich zweifeln. Selbst wenn man diese Frau bei Debatten beobachtet, sie kann sich ja toll überall heraus reden und meint alles wird gut! Für wen? Nicht für das Volk. In ihren Augen hingegen sind Zweifel und Unsicherheit über ihre eigenen Worte zu sehen! Gegen wie viele Gesetze hat diese Frau schon verstoßen?! Für mich ist diese Person, die ehemals zu Zeiten der DDR bei der Stasi war nicht glaubwürdig und für das ""DEUTSCHE VOLK"" untragbar. Doch ich fürchte, sie wird weiterhin Kanzlerin bleiben! Dafür gibt es so, wie Medien berichten leider noch immer genug Menschen, die ihr vertrauen. Wenn ich hundertmal betrogen werde, vertraue ich nicht mehr.",,,,,,,2017-08-31T16:47:28Z,69,"Die genannten Maßnahmen sind überfällig. >>> Hallo holzwurmpaul! Da gebe ich Ihnen vollkommen recht, mit Ihrer Aussage, das die in Berlin alle unfähig sind! Bald sind Wahlen.....natürlich werden da große Versprechen gemacht, die nach der Wahl nicht eingehalten werden! Wie nennt man das noch so schön: Nepper, Schlepper , Bauernfänger. Bislang hat es funktioniert. Ich habe Merkel noch nie meine Stimme gegeben und sie wird sie auch niemals erhalten.",,,,,,
,16,pfuertiger,Welche Punkte würden Sie ergänzen? (55),Grundsätzlich halte ich es für sehr sinnvoll die gemachten Erfahrungen von Migration in unser Land zu nutzen und viel breiter zu diskutieren. Wirtschaftliche Interessen zu benennen und notwendige Partizipation zu diskutieren. Wenn Angst/Kontrolle vorherrscht sind die Kinder in den Brunnen gefallen....Leider ist die Sicht der Flüchtlingswelle aus 2015 so abgelegt. Sich aufzustellen gegen Terrorismus bedeutet eine sehr feinfühlige Balance zwischen empfundenen Schutz und der Lust auf ein freies und selbstbestimmtes Leben....,,,,,,,2017-08-31T08:57:24Z,NULL,,,,,,,
,63,Simon,Wie bewerten Sie den 9-Punkte-Plan insgesamt? (77),"Auf dem Papier klingt der Plan gut, aber wie immer wird es auf die konkrete Umsetzung ankommen.",,,,,,,2017-09-03T11:10:07Z,NULL,,,,,,,
,64,Ewald,Welche Meinung haben Sie zum 9-Punkte-Plan? (190),"Vom Ansatz her richtig. Auch eine Einbindung der Bundeswehr erachte ich als sinnvoll. Bestimmt besser als die Auslandseinsätze für die anscheinend weder Ausbildung noch Ausrüstung reichen. Von einer Militäraufrüstung ist unbedingt abzuraten. Wenn wir schon so viel Geld für die Bundeswehr ausgeben, so ist das bei einer intensiven Zusammenarbeit mit den Polizeibehörden besser angelegt. Warum brauchen wir immer für alles 2 Strukturen (hier Polizei - da BW). Ganz wichtig ist natürlich eine bundesweite Vernetzung (warum brauchen wir eigentlich 16 Bundesländer?) und eine internationale (EU). Abschieben ohne wenn und aber (natürlich nur die, die kein Aufenthaltsstatus haben). Länder die ihre Landsleute nicht mehr aufnehmen wollen müssen diplomatisch/wirtschaftlich dazu gezwungen werden.",,,,,,,2017-08-31T15:08:24Z,NULL,,,,,,,
,118,brunolina,Welche Meinung haben Sie zum 9-Punkte-Plan? (190),"Hallo Sammy, Meinungsfreiheit ist nicht gleichbedeutend mit dem verbreiten von Unwahrheiten. Ich kann bei Deiner Wortwahl nicht erkennen, dass Du bereit wärst, Angriffe gegen andere - zu denen Frau Merkel doch wohl auch gehört – zu unterlassen. Meine Aussage war absolut klar. Sie ärgert Dich. Das kann ich nicht ändern. Teile Deiner Worte zitiere ich – den Rest erspare ich uns, ist ja durchaus nachlesbar: _„In ihren Augen hingegen sind Zweifel und Unsicherheit über ihre eigenen Worte zu sehen!“_ _Gegen wie viele Gesetze hat diese Frau schon verstoßen?!_ _Für mich ist diese Person, die ehemals zu Zeiten der DDR bei der Stasi war nicht glaubwürdig und für das “DEUTSCHE VOLK” untragbar.“_",,,,,,,2017-09-01T19:12:09Z,116,"Die genannten Maßnahmen sind überfällig. >>> Hallo holzwurmpaul! Da gebe ich Ihnen vollkommen recht, mit Ihrer Aussage, das die in Berlin alle unfähig sind! Bald sind Wahlen.....natürlich werden da große Versprechen gemacht, die nach der Wahl nicht eingehalten werden! Wie nennt man das noch so schön: Nepper, Schlepper , Bauernfänger. Bislang hat es funktioniert. Ich habe Merkel noch nie meine Stimme gegeben und sie wird sie auch niemals erhalten. >>> Der 9. Punkte Plan hört sich geschrieben schon mal gut an. Nur will Merkel diesen tatsächlich realisiere?! Daran möchte ich zweifeln. Selbst wenn man diese Frau bei Debatten beobachtet, sie kann sich ja toll überall heraus reden und meint alles wird gut! Für wen? Nicht für das Volk. In ihren Augen hingegen sind Zweifel und Unsicherheit über ihre eigenen Worte zu sehen! Gegen wie viele Gesetze hat diese Frau schon verstoßen?! Für mich ist diese Person, die ehemals zu Zeiten der DDR bei der Stasi war nicht glaubwürdig und für das ""DEUTSCHE VOLK"" untragbar. Doch ich fürchte, sie wird weiterhin Kanzlerin bleiben! Dafür gibt es so, wie Medien berichten leider noch immer genug Menschen, die ihr vertrauen. Wenn ich hundertmal betrogen werde, vertraue ich nicht mehr. >>> Sag mal, ist Dir eigentlich klar, welche Behauptungen Du da frisch und frei in die Welt setzt und gegen welche Gesetze DU damit verstoßen hast? >>> Hallo brunolina, gegen was für Gesetze verstößt Sammy Erkläre das mal !! Und welche Behauptungen gefallen dir nicht?? >>> Hallo brunolina! Definiere bitte klar und deutlich, gegen welche Gesetze ich verstoßen haben soll mit meinen Aussagen!!! Frisch und frei in die Welt gesetzt??? Im Moment herrscht noch freie Meinungsäußerung in Deutschland! Ich bin gerne bereit mir DEINE Meinung anzuhören ohne DICH oder irgend jemanden anzugreifen und schon gar nicht mit einem unvollständigem Satz, der keine klare Aussage hat! Was ich geschrieben habe ist eine belegte Tatsache, die sich überall nachlesen lässt. Merkel hat nun mal in mehreren Fällen gegen das Grundgesetz verstoßen! Sollte ich das geheim halten, wo das bereits bekannt ist!",,,,,,
,76,holzwurmpaul,Welche Meinung haben Sie zum 9-Punkte-Plan? (190),Das ist doch der Merkel so von Egal gegen was oder wer sie verstößt Hauptsache sie kann auf der Weltbühne Brillieren. Gab es in der DDR überhaupt so was wie Grundgesetze da war es doch so wer am meistens Mitbewohner Verraten konnte der durfte auch Studieren.,,,,,,,2017-08-31T17:13:19Z,74,"Bundeswehr im Inneren? Hier verstösst sie gegen das Grundgesetz. >>> Das ist wohl nicht das erste oder auch letzte Grundgesetz, wogegen Merkel verstößt!",,,,,,
,62,anonym13,Was denken Sie: Wie lässt sich Terror stoppen? (77),"Den Terror kann man nicht stoppen, dafür gibt es auf der Welt viel zu viel Qual und Leid und sowieso Ungerechtigkeit.",,,,,,,2017-09-01T19:12:40Z,NULL,,,,,,,
,190,Sudiko,Welche Meinung haben Sie zum 9-Punkte-Plan? (190),"Ich finde es leider auch echt schade, dass die Polizei nicht so viel machen darf und hoffe auf baldige Änderungen.",,,,,,,2017-09-06T11:57:12Z,187,"Also ich finde auch das die Bundeswehr im Inneren gegen das Gesetz verstoßen würde - das die Polizei eine bessere Ausrüstung benötigt ist auf alle Fälle klar! - die die unser Asylrecht missbrauchen, sollten sofort abgeschoben werden, damit andere die es benötigen, eher geholfen wird >>> Hallo Sudiko! Die Polizei muss nicht nur besser ausgerüstet werden, sondern auch drastisch aufgestockt werden! Die Polizei ist vollkommen überfordert. Zudem sind ihnen gesetzlich gesehen zu sehr die Hände gebunden, was in anderen Ländern besser geregelt ist. >>> Hallo Sammy, ja - da stimme ich zu. Teilweise wird hier der Polizei auf der Nase rum getanzt. Ich bin jedoch zusätzlich auch für härtere Strafen. Ein kinderschändler muss nur 2-3 Jahre in Haft wenn überhaupt, da ja noch die Bewährung ist. In anderen Ländern qie USA wir es härter (zu recht) bestraft. Zudem müssen bestimmte Straßen, die eh den Ruf haben schlecht zu sein, öfter kontrolliert werden. >>> Hallo Sudiko! Die Polizei hier in Deutschland darf ja auch nicht viel unternehmen. Selbst wenn sie angegriffen werden, hat die Polizei keine große Handhabe. Bei den Kinderschändern ist das so eine Sache! Die Kinder bekommen lebenslänglich und die Täter 2-3 Jahre, was lächerlich ist und eine zusätzliche Ohrfeige für die Opfer. Phädophile sind nicht rehabilitierbar und gehören meiner Ansicht nach nie wieder auf freien Fuß!",,,,,,
,3,trautensteiner,Welche Punkte würden Sie ergänzen? (55),"Der 9-Punkte-Plan ist ja ganz nett, aber er wird wahrscheinlich genau so enden wie der ganze Aktionismus nach den Anschlägen, im Nichts. Wir sollten langsam anfangen die Gesetze und die Möglichkeiten die schon da sind auch anzuwenden. Hätte man das vor dem Anschlag in Berlin gemacht hätte er nie stattgefunden.",,,,,,,2017-08-29T10:15:28Z,NULL,,,,,,,
,134,berna,Welche Meinung haben Sie zum 9-Punkte-Plan? (190),"diese 9 punkte plan funktioniert nur, in dem man im nahen osten die länder von terorgruppen befreit und nicht durch waffenverkäufe unterstützt. diese terorangriffe sind vom westen mitverantwortlich.",,,,,,,2017-09-02T15:14:53Z,NULL,,,,,,,
,74,Sammy,Welche Meinung haben Sie zum 9-Punkte-Plan? (190),"Das ist wohl nicht das erste oder auch letzte Grundgesetz, wogegen Merkel verstößt!",,,,,,,2017-08-31T16:49:19Z,2,Bundeswehr im Inneren? Hier verstösst sie gegen das Grundgesetz.,,,,,,
